date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/3 7:00,-6.794352862,-6.140486988,-1.167804056,38.74947577,3.576822231,78.300186,-70.02828,-87.46357,-22.89243,4.823005,136.71112,0.0,285.08475,11.699817,13.531334,12.830905,1.0
2019/1/3 8:00,-7.203330755,-6.509710279,-1.701979203,38.4697202,8.316522359,65.35614,-75.11645,-72.46357,-22.89243,2.387558,371.32086,0.0,586.208,24.643862,13.531334,12.830905,1.0
2019/1/3 9:00,-7.612106824,-6.884604358,-2.250824003,38.20980618,12.66501665,52.11639,-79.743744,-57.463573,-22.89243,1.6257652,605.10406,0.0,863.2774,37.88361,13.531334,12.830905,1.0
2019/1/3 10:00,-8.018637496,-7.2628708,-2.810251974,37.97030515,15.78528969,38.684322,-84.307365,-42.463573,-22.89243,1.2799658,807.393,0.0,1097.411,51.315678,13.531334,12.830905,1.0
2019/1/3 11:00,-8.420879198,-7.642211183,-3.376176635,37.75178854,17.71650092,25.142588,-89.56577,-27.463573,-22.89243,1.104086,960.27563,0.0,1272.6531,64.857414,13.531334,12.830905,1.0
2019/1/3 12:00,-8.81678836,-8.020327082,-3.944511504,37.55482779,18.28479846,11.615754,-99.08699,-12.463573,-22.89243,1.0205376,1051.7593,0.0,1377.0612,78.38425,13.531334,12.830905,1.0
2019/1/3 13:00,-9.204321409,-8.394920074,-4.5111701,37.37999434,18.25260083,3.3014297,134.93329,2.536427,-22.89243,1.0013564,1074.9777,0.0,1403.5199,86.69857,13.531334,12.830905,1.0
2019/1/3 14:00,-9.581434772,-8.763691734,-5.072065941,37.22785962,15.6126914,16.171566,94.69543,17.536427,-22.89243,1.040776,1028.2233,0.0,1350.2263,73.82844,13.531334,12.830905,1.0
2019/1/3 15:00,-9.946084877,-9.12434364,-5.623112545,37.09899507,10.1944447,29.729275,87.61832,32.536427,-22.89243,1.1508721,914.9519,0.0,1220.8123,60.270725,13.531334,12.830905,1.0
2019/1/3 16:00,-10.29622815,-9.474577367,-6.16022343,36.99397213,7.095442852,43.243195,82.739075,47.536427,-22.89243,1.3713305,743.75696,0.0,1024.097,46.756805,13.531334,12.830905,1.0
